Station Name,Station Code,"Station
Category",Division,Zone,District,State,Latitudes,Longitudes
BHORAS BUDRUKH,BFJ,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.01429200000001,20.538301
JAMNER,JMNR,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.77482301741838,20.80642760713478
ANJANGAON,ANJ,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.31896504759789,21.163199753077336
BANOSA,BASA,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
BHADSIVNI,BDKE,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,,
BHAGDARA,BGR,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,,
BORVIHIR,BRVR,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.8417412,20.7843263
CHAMAK,CMK,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
DARWHA MOTI BAGH JN.,DWM,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
KAPUSTALNI,KTNI,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
KARANJA,KRJA,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,77.48152183368802,20.491825750710376
KARANJA TOWN,KRJT,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,,
KHUSTA BUZURG,KSBG,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
KINKHED,KQV,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,,
KOHDAD,KDK,HG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.36547849,21.7026228941
KOKALDA,KXD,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
KOLHADI,KLHD,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.058938,20.900243
LADKHED,LDD,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
LAKHPURI,LPU,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,,
LASINA,LSN,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
LEHGAON,LGN,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
LING,LING,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,87.3615834955126,25.290391816004586
MANDURA,MNDA,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.52258400000001,20.78015
MOHADI PRAGANE LALIN,MHAD,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.77978399999999,20.863002
MORDAD TANDA,MWK,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.904782,20.688190000000002
MURTIZAPUR TOWN,MZRT,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,,
NOWBAGH,NBGH,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,,
PAHUR,PHU,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,,
PIMPALGAON,PMGN,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,,
POHE,POHE,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,,
RAJMANE,RM,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,74.941672,20.643085
SANGWI,SWQ,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
SHENDURNI,SDRN,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,,
SHIRALA,SIRL,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.726017,21.123835999999997
SOMTHAN,SMTN,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,,
TAPONA,TPN,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
VARKHEDI,VRKD,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,,
VILEGAON,VLN,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,,
WARUDKHED,WRD,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,,
NASHIK ROAD,NK,NSG2,BHUSAWAL,CR,NASHIK,MAHARASHTRA,73.841897,19.947627
AKOLA JN.,AK,NSG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.005497,20.723084
AMRAVATI,AMI,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.7577863,20.930082900000002
BADNERA JN.,BD,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.73231969999999,20.8567925
BHUSAVAL JN.,BSL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.78867170000001,21.0472812
JALGAON JN,JL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.56287499999999,21.018114999999998
KHANDWA,KNW,NSG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.353227,21.823596
MANMAD JN.,MMR,NSG3,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.438305,20.249887
SHEGAON,SEG,NSG3,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.690331,20.801724
BURHANPUR,BAU,NSG4,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.1986787,21.3343976
CHALISGAON JN,CSN,NSG4,BHUSAWAL,CR,JALGAON,MAHARASHTRA,74.999049,20.464109
MALKAPUR,MKU,NSG4,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.202946,20.891974
BODWAD,BDWD,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.017046,20.9035827
DEVLALI,DVL,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,73.83729,19.897509
DHULE,DHI,NSG5,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.768847,20.887752
LASALGAON,LS,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.22597599999999,20.154847999999998
MURTIZAPUR,MZR,NSG5,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.35482499999999,20.736468000000002
NANDGAON,NGN,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.659526,20.307616
NANDURA,NN,NSG5,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.46015799999999,20.838889
NEPANAGAR,NPNR,NSG5,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.397032,21.463933
NIPHAD,NR,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.079481,20.096584
PACHORA JN.,PC,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.34831,20.668385
RAVER,RV,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.044594,21.222201
ACHALPUR,ELP,NSG6,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.51926277764142,21.27760302246017
ACHEGAON,ACG,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.934247,20.976217
