type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[75.4516454, 27.2520587]",Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",
Feature,,,,XX-BECE,XX-BECE,,,
Feature,,,,XX-BSPY,XX-BSPY,,,
Feature,,,,YY-BPLC,YY-BPLC,,,
Feature,Point,"[79.519746, 28.913427000000002]",Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh",
Feature,Point,"[74.43499088287354, 29.55519806064484]",Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan",
Feature,Point,"[74.75103096105158, 29.238227312503696]",Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan",
Feature,Point,"[74.77362781763077, 29.192562738768984]",Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan",
Feature,Point,"[80.231363, 12.975217]",Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu",
Feature,Point,"[74.7179570607841, 29.345637263205944]",Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana",
Feature,Point,"[78.216684, 21.838466]",,JKR,JAULKHERA,,,
Feature,Point,"[78.03136099999999, 21.909813]",,BYS,BARSALI,,,
Feature,Point,"[78.936311, 23.838185999999997]",,GW,GIRWAR,,,
Feature,Point,"[79.019912, 23.871771000000003]",,DGD,DANGIDHAR,,,
Feature,Point,"[75.10354600000001, 23.770740999999997]",Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh",
Feature,Point,"[79.074633, 23.895862]",,GAJ,GANESHGANJ,,,
Feature,Point,"[88.415324, 22.168635]",West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal",
Feature,Point,"[74.71699100000001, 26.294459999999997]",Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan",
Feature,Point,"[79.192899, 23.905726]",,PHA,PATHARIA,,,
Feature,Point,"[78.103238, 18.679164999999998]",Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh",
Feature,Point,"[86.01054599999999, 25.387446999999998]",,RJO,RAJENDRA PUL,,,
Feature,Point,"[79.478668, 11.009165]",Tamil Nadu,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu",
Feature,Point,"[79.388644, 10.952962]",Tamil Nadu,KMU,KUMBAKONAM,SR,"Kumbakonam, Tamil Nadu",
Feature,Point,"[78.45351, 9.681538999999999]",Tamil Nadu,MNM,MANAMADURAI JN,SR,"Sivaganga, Tamil Nadu",
