Station Name,Station Code,"Station
Category",Division,Zone,District,State,Latitudes,Longitudes
BHORAS BUDRUKH,BFJ,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.014292,20.538301
JAMNER,JMNR,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.77482302,20.80642761
ANJANGAON,ANJ,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.31896505,21.16319975
BORVIHIR,BRVR,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.8417412,20.7843263
KARANJA,KRJA,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,77.48152183,20.49182575
KOHDAD,KDK,HG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.36547849,21.70262289
KOLHADI,KLHD,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.058938,20.900243
LING,LING,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,87.3615835,25.29039182
MANDURA,MNDA,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.522584,20.78015
MOHADI PRAGANE LALIN,MHAD,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.779784,20.863002
MORDAD TANDA,MWK,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.904782,20.68819
RAJMANE,RM,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,74.941672,20.643085
SHIRALA,SIRL,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.726017,21.123836
NASHIK ROAD,NK,NSG2,BHUSAWAL,CR,NASHIK,MAHARASHTRA,73.841897,19.947627
AKOLA JN.,AK,NSG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.005497,20.723084
AMRAVATI,AMI,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.7577863,20.9300829
BADNERA JN.,BD,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.7323197,20.8567925
BHUSAVAL JN.,BSL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.7886717,21.0472812
JALGAON JN,JL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.562875,21.018115
KHANDWA,KNW,NSG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.353227,21.823596
MANMAD JN.,MMR,NSG3,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.438305,20.249887
SHEGAON,SEG,NSG3,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.690331,20.801724
BURHANPUR,BAU,NSG4,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.1986787,21.3343976
CHALISGAON JN,CSN,NSG4,BHUSAWAL,CR,JALGAON,MAHARASHTRA,74.999049,20.464109
MALKAPUR,MKU,NSG4,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.202946,20.891974
BODWAD,BDWD,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.017046,20.9035827
DEVLALI,DVL,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,73.83729,19.897509
DHULE,DHI,NSG5,BHUSAWAL,CR,DHULE,MAHARASHTRA,74.768847,20.887752
LASALGAON,LS,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.225976,20.154848
MURTIZAPUR,MZR,NSG5,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.354825,20.736468
NANDGAON,NGN,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.659526,20.307616
NANDURA,NN,NSG5,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.460158,20.838889
NEPANAGAR,NPNR,NSG5,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.397032,21.463933
NIPHAD,NR,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.079481,20.096584
PACHORA JN.,PC,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.34831,20.668385
RAVER,RV,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,76.044594,21.222201
ACHALPUR,ELP,NSG6,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.51926278,21.27760302
ACHEGAON,ACG,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.934247,20.976217
ANKAI,ANK,NSG6,BHUSAWAL,CR,NASHIK,MAHARASHTRA,74.46975607,20.15102791
ASIRGARH ROAD,AGQ,NSG6,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.268065,21.378418
ASVALI,AV,NSG6,BHUSAWAL,CR,NASHIK,MAHARASHTRA,73.751085,19.817371
BAGMAR,BMA,NSG6,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.36160194,21.73712886
BHADLI,BDI,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,75.67291233,21.02366325
BISWA BRIDGE,BIS,NSG6,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,76.33919345,20.88515715
BORGAON,BGN,NSG6,BHUSAWAL,CR,AKOLA,MAHARASHTRA,77.1796502,20.7290593
CHANDNI,CDI,NSG6,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,76.350657,21.427164
CHANDUR BAZAR,CNDB,NSG6,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,77.741807,21.219451
DONGARGAON,DGN,NSG6,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,76.364067,21.641314
